=== TRPG 던전 시작 (두란·카야·피른 / Haiku 두뇌 / GM 없음 / 구독 과금 0)  56x20  지하1층  몬스터2 함정3 매복1 ===
-- tick 1 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "계단을 찾자!"
   봇1  탐색 -> N 방향 자동보행
   봇2  f2 핑 -> 자동보행 개시
   봇3 💬 "자, 계단을 찾아보자 - 어느 방향이 낫다고 봐?"
   봇3  탐색 -> NW 방향 자동보행
-- tick 2 --  (사고:- / 나머지 자동보행)
   봇1  [33, 11] (자동보행)
   봇2  [36, 13] ($ 획득)
   봇3  [31, 12] (자동보행)
-- tick 3 --  (사고:- / 나머지 자동보행)
   봇1  [33, 10] (자동보행)
   봇2  ? (도착)
   봇3  [30, 12] (자동보행)
-- tick 4 --  (사고:2 / 나머지 자동보행)
   봇1  [33, 9] (도착)
   봇2 💬 "상자 있다"
   봇2  f4 핑 -> 자동보행 개시
   봇3  [29, 11] (도착)
-- tick 5 --  (사고:1·3 / 나머지 자동보행)
   봇1 💬 "남동쪽으로!"
   봇1  탐색 -> SE 방향 자동보행
   봇2  [35, 13] (자동보행)
   봇3 💬 "이 길을 따라가 보자"
   봇3  탐색 -> SW 방향 자동보행
-- tick 6 --  (사고:- / 나머지 자동보행)
   봇1  [33, 10] (자동보행)
   봇2  [34, 12] (도착)
   봇3  [29, 12] (자동보행)
-- tick 7 --  (사고:2 / 나머지 자동보행)
   봇1  [33, 11] (자동보행)
   봇2  상자를 열었다 — 보물 2개!
   봇3  [28, 12] (자동보행)
-- tick 8 --  (사고:2 / 나머지 자동보행)
   봇1  [34, 11] (도착)
   봇2  b1 핑 -> 자동보행 개시
   봇3  [27, 12] (도착)
-- tick 9 --  (사고:1·3 / 나머지 자동보행)
   봇1 💬 "피른을 찾아야 한다. 흩어져 있으면 위험하다!"
   봇1  b3 핑 -> 자동보행 개시
   봇2  [35, 12] (자동보행)
   봇3 💬 "두란, 카야, 살아있지? 다시 모여야겠는데..."
   봇3  탐색 -> W 방향 자동보행
-- tick 10 --  (사고:- / 나머지 자동보행)
   봇1  [33, 11] (자동보행)
   봇2  [35, 11] (도착)
   봇3  [26, 12] (자동보행)
-- tick 11 --  (사고:2 / 나머지 자동보행)
   봇1  [32, 11] (자동보행)
   봇2 💬 "남동쪽을 살펴볼게"
   봇2  탐색 -> SE 방향 자동보행
   봇3  [25, 12] (자동보행)
-- tick 12 --  (사고:- / 나머지 자동보행)
   봇1  [31, 11] (자동보행)
   봇2  [36, 11] (자동보행)
   봇3  보행 정지 — 발견: 숨은 보물
-- tick 13 --  (사고:3 / 나머지 자동보행)
   봇1  [30, 11] (자동보행)
   봇2  [37, 12] (자동보행)
   봇3  상호작용 f6 — $ 획득
-- tick 14 --  (사고:3 / 나머지 자동보행)
   봇1  [29, 12] (자동보행)
   봇2  [38, 12] (도착)
   봇3 💬 "길을 나서자"
   봇3  탐색 -> NW 방향 자동보행
-- tick 15 --  (사고:2 / 나머지 자동보행)
   봇1  [28, 12] (도착)
   봇2  탐색 -> NE 방향 자동보행
   봇3  [23, 11] (자동보행)
-- tick 16 --  (사고:1 / 나머지 자동보행)
   봇1  탐색 -> SE 방향 자동보행
   봇2  [39, 12] (자동보행)
   봇3  [22, 10] (자동보행)
-- tick 17 --  (사고:- / 나머지 자동보행)
   봇1  [29, 12] (자동보행)
   봇2  [40, 12] (자동보행)
   봇3  [21, 9] (도착)
-- tick 18 --  (사고:3 / 나머지 자동보행)
   봇1  [29, 13] (도착)
   봇2  [40, 11] (도착)
   봇3 💬 "자, 이 던전의 첫 장을 펼쳐보자"
   봇3  탐색 -> W 방향 자동보행
-- tick 19 --  (사고:1·2 / 나머지 자동보행)
   봇1 💬 "동쪽으로 나간다!"
   봇1  탐색 -> E 방향 자동보행
   봇2  탐색 -> N 방향 자동보행
   봇3  [20, 9] (자동보행)
-- tick 20 --  (사고:- / 나머지 자동보행)
   봇1  [30, 13] (자동보행)
   봇2  [40, 10] (자동보행)
   봇3  [19, 9] (도착)
-- tick 21 --  (사고:3 / 나머지 자동보행)
   봇1  [31, 13] (자동보행)
   봇2  [40, 9] (도착)
   봇3  b2 핑 -> 자동보행 개시
-- tick 22 --  (사고:2 / 나머지 자동보행)
   봇1  [32, 13] (도착)
   봇2 💬 "서쪽부터."
   봇2  탐색 -> W 방향 자동보행
   봇3  [20, 9] (자동보행)
-- tick 23 --  (사고:1 / 나머지 자동보행)
   봇1  탐색 — 더 볼 곳 없음, 출구로 향함
   봇2  [39, 9] (자동보행)
   봇3  [21, 9] (자동보행)
-- tick 24 --  (사고:- / 나머지 자동보행)
   봇1  [31, 13] (자동보행)
   봇2  [38, 9] (도착)
   봇3  [22, 9] (자동보행)
-- tick 25 --  (사고:2 / 나머지 자동보행)
   봇1  [30, 13] (자동보행)
   봇2  탐색 -> N 방향 자동보행
   봇3  [23, 10] (자동보행)
-- tick 26 --  (사고:- / 나머지 자동보행)
   봇1  [29, 12] (자동보행)
   봇2  [38, 8] (자동보행)
   봇3  [24, 10] (자동보행)
-- tick 27 --  (사고:- / 나머지 자동보행)
   봇1  [28, 12] (자동보행)
   봇2  [38, 7] (도착)
   봇3  [25, 11] (자동보행)
-- tick 28 --  (사고:2 / 나머지 자동보행)
   봇1  [27, 12] (자동보행)
   봇2  탐색 -> E 방향 자동보행
   봇3  [26, 12] (자동보행)
-- tick 29 --  (사고:- / 나머지 자동보행)
   봇1  ? (길 막힘)
   봇2  보행 정지 — 발견: 독침 함정
   봇3  ? (길 막힘)
-- tick 30 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "카야! 어딧냐!"
   봇1  b2 핑 -> 자동보행 개시
   봇2  탐색 -> E 방향 자동보행
