=== TRPG 던전 시작 (두란·카야·피른 / Haiku 두뇌 / Sonnet GM / 구독 과금 0)  56x20  지하2층  몬스터2 함정3 매복1 ===
-- tick 1 --  (사고:1·2·3 / 나머지 자동보행)
   봇1 💬 "카야, 앞장!"
   봇1  동행 개시 -> b2 곁으로
   봇2 💬 "여기야!"
   봇2  b1 핑 -> 자동보행 개시
   봇3 💬 "두란, 어디 있어? 함께하자!"
   봇3  b1 핑 -> 자동보행 개시
-- tick 2 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 따라 걷는다
   봇2  b1 곁에 도착 — 재결정
   봇3  [33, 11] (자동보행)
-- tick 3 --  (사고:2 / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2 💬 "좋아. 같이 가자."
   봇2  동행 개시 — 이미 곁, 따라 걷는다 (b1)
   봇3  [34, 11] (자동보행)
-- tick 4 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  [35, 11] (자동보행)
-- tick 5 --  (사고:- / 나머지 자동보행)
   봇1  b2 곁을 지키며 따른다
   봇2  b1 곁을 지키며 따른다
   봇3  [36, 12] (도착)
   GM(t1): 어둠에 잠긴 던전 곳곳에서, 따로 떨어져 있던 세 그림자가 동시에 발을 뗀다. 두란은 검자루를 고쳐 쥐며 카야가 있는 방향으로 성큼 나선다 — 무작정 앞서 뛰어들기보다 그녀의 눈부터 곁에 두기로 한 것이다. 두란이 멀지 않은 곳에 있음을 헤아린 카야는 낮은 자세로 조용히 그쪽을 향해 움직인다. 혼자 움직이는 것보다 셋이 뭉치는 편이 낫다는 계산이다. 그보다 조금 더 먼 자리에 있던 피른은 발걸음을 서둘러 두란 쪽으로 향한다 — 최고의 노래는 결국 다 함께 있을 때 나온다는 믿음으로, 갈라진 세 걸음을 하나로 모으려 한다.
